사이트,상품이름,가격,상품URL,이미지URL,평판점수,평판숫자,종류
Coupang,"ANF 유기농 6Free 양고기 전연령 애견 사료, 양, 8kg, 1세트",60260,https://www.coupang.com/vp/products/822882?itemId=94885258&vendorItemId=70801338513,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(11112),Dog
Coupang,"ANF 유기농 6Free 플러스 소고기 강아지사료애견, 1개, 6kg",99000,https://www.coupang.com/vp/products/5156886648?itemId=7094946977&vendorItemId=76379352873,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(21),Dog
Coupang,"ANF 유기농 6Free 플러스 소고기 강아지사료애견, 1개, 6kg",99000,https://www.coupang.com/vp/products/5156886648?itemId=7094946977&vendorItemId=76379352873,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b861/17a5c4992dc3aad941c14b9f25489060ef8bc75d539bcf73bf34ea08ea2c.png,4.5,(21),Dog
Coupang,"ANF 유기농 6FreePlus 5.6kg 5종 / 강아지사료, 소고기&연어 5.6kg",40320,https://www.coupang.com/vp/products/6067847414?itemId=11188221024&vendorItemId=78466041060,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"ANF 유기농 6FreePlus 5.6kg 5종 / 강아지사료, 연어&흰살생선 5.6kg",40320,https://www.coupang.com/vp/products/5994103811?itemId=10831167749&vendorItemId=78111214563,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,ANF 유기농 6free 플러스 연어 강아지 사료,36000,https://www.coupang.com/vp/products/5721468049?itemId=9570709735&vendorItemId=76855334736,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,1.0,(2),Dog
Coupang,"ANF 전연령 식스프리 소고기 건식사료, 6kg, 1개",109000,https://www.coupang.com/vp/products/78748094?itemId=253999635&vendorItemId=76216809714,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7454/26ce6b7e549bcae0c32e1f02ff36ff6bf8bc3a422a2061f43bb2f50fa04e.png,4.5,(3816),Dog
Coupang,"ANF 전연령 식스프리 소고기 건식사료, 6kg, 1개",109000,https://www.coupang.com/vp/products/78748094?itemId=253999635&vendorItemId=76216809714,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(3816),Dog
Coupang,"ANF 전연령 유기농 6Free 연어 애견사료, 1개, 2kg",25300,https://www.coupang.com/vp/products/3160116?itemId=7221262&vendorItemId=3000023961,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(25009),Dog
Coupang,"ANF 전연령 유기농 6Free 연어 애견사료, 1개, 6kg",109000,https://www.coupang.com/vp/products/3160116?itemId=164444028&vendorItemId=76356647726,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f576/7960a4d7fcd655f7e5cebf35fe66abf5f39eeb6b4beac7313a6ca0123eec.png,4.5,(25009),Dog
Coupang,"ANF 전연령 유기농 6Free 연어 애견사료, 1세트, 8kg",120000,https://www.coupang.com/vp/products/3160116?itemId=94885265&vendorItemId=78482104883,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(25009),Dog
Coupang,"ANF 전연령 유기농 6Free 연어 애견사료, 6kg, 2개",218000,https://www.coupang.com/vp/products/1796380518?itemId=3056104199&vendorItemId=76356647692,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(710),Dog
Coupang,"ANF 전연령용 6 Free 강아지 건식사료, 칠면조, 2kg",18500,https://www.coupang.com/vp/products/4648097472?itemId=5791486382&vendorItemId=76177136960,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(99),Dog
Coupang,"ANF 홀리스틱 양고기 7.2kg 15kg 강아지사료, 램 홀리스틱 15kg 큰입자",123870,https://www.coupang.com/vp/products/5524142107?itemId=8649126993&vendorItemId=75936335369,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"ANF 홀리스틱 양고기 시니어 7.2kg, 1개",55600,https://www.coupang.com/vp/products/52080100?itemId=184183290&vendorItemId=3361160472,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(25),Dog
Coupang,"ANF 홀리스틱 양고기 시니어 7.2kg, 1개",55600,https://www.coupang.com/vp/products/52080100?itemId=184183290&vendorItemId=3361160472,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(25),Dog
Coupang,"ANF 홀리스틱 양고기 시니어 7.2kg, 1개",55600,https://www.coupang.com/vp/products/52080100?itemId=184183290&vendorItemId=3361160472,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(25),Dog
Coupang,"ANF 홀리스틱 양고기 시니어 7.2kg, 1개",55600,https://www.coupang.com/vp/products/52080100?itemId=184183290&vendorItemId=3361160472,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2019/02/21/16/4/048c315a-42c5-4257-8d14-49cba97c515b.jpg,4.5,(25),Dog
Coupang,"ANF유기농6Free연어_2kgx2, 2개, 2kg",50600,https://www.coupang.com/vp/products/3160116?itemId=33827758&vendorItemId=3049983861,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(25009),Dog
Coupang,"ANF유기농6Free연어_2kgx2, 2개, 2kg",50600,https://www.coupang.com/vp/products/3160116?itemId=33827758&vendorItemId=3049983861,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/06/20/3049983861/543f15f3-e0fa-4215-b497-79926dd0987a.jpg,4.5,(25009),Dog
Coupang,ANf 더블미트 소고기 7.2kg 생육 65％,66900,https://www.coupang.com/vp/products/148719340?itemId=430070168&vendorItemId=4766949722,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/08e3/7224ee6b32d86118c1dee312e62d05af9b89f4f6e3009f6798d8b40b8046.jpg,4.5,(6),Dog
Coupang,"BIXBI 전연령용 러블 강아지 건사료, 칠면조, 1.8kg",33000,https://www.coupang.com/vp/products/2269004876?itemId=3890754912&vendorItemId=71725556862,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a5e7/14eae45bbee8f6d1f2f5d1fc14f63868613c79a51205724fc303d818b4d9.png,4.0,(7),Dog
Coupang,"FINIKI 가수분해 2.5kg - 강아지 사료 소고기(BEEF)_37990907EA, 쿠팡상품 본상품선택",35640,https://www.coupang.com/vp/products/6071528607?itemId=11211731507&vendorItemId=78489260913,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/84ed/d61d182b532ea1bf63bea14fc73937ecb2c5f092d1e553c016413225c5a2.jpg,평점 없음,평점 수 없음,Dog
Coupang,"FINIKI 가수분해 2.5kg - 강아지 사료 양고기(LAMB)_37990907EA, 쿠팡상품 본상품선택",35640,https://www.coupang.com/vp/products/6071528602?itemId=11211731502&vendorItemId=78489260911,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f055/8bec64071411a72010403576850e39f635e82c84328fd7a55a29f067ca0c.jpg,평점 없음,평점 수 없음,Dog
Coupang,"GO 센서티비티 + 샤인 연어 레시피 DF 애견 사료, 2.72kg, 1개",29160,https://www.coupang.com/vp/products/168407378?itemId=482011679&vendorItemId=74799047864,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(77),Dog
Coupang,"HALO 스몰브리드 홀리스틱 치킨 앤 치킨간, 4.54kg, 닭",75000,https://www.coupang.com/vp/products/5613535563?itemId=9077449301&vendorItemId=78450650505,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a6a8/4053ad04b1b9844f3c9d94a1a2730688a1eefc162c930ae282eb615f4891.jpg,5.0,(1),Dog
Coupang,"Iskhan 램30 이즈칸, 7.5kg, 1개",29820,https://www.coupang.com/vp/products/1462272?itemId=6975809&vendorItemId=73335328706,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7357/fc4fdfabc4f89bfc267dce16542f4eb9aad4adb42d9dac6c8a227ac08e53.jpg,4.5,(1645),Dog
Coupang,"NANA SHOP 품 모두 큐트 고양이 애완동물 펫 DIY 디지털 유화그림 침실 배경 색칠함 그림을 걸다, 5938안테두리_L형화이트액자, 50X60센치",69300,https://www.coupang.com/vp/products/6071897718?itemId=11214462507&vendorItemId=78491980593,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"NOW 나우 그레인프리 스몰브리드 어덜트 5.44kg 강아지 건식 사료, 동결건조 수제간식",60000,https://www.coupang.com/vp/products/5172767601?itemId=7140600225&vendorItemId=78233905471,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3177/63e061456b48eb4ece23a0469480b23eb1d731fbcd0f045ff130c67b502a.jpeg,5.0,(3),Dog
Coupang,"Natural Core 치킨&살몬 애견 사료 7kg, 1개, 7kg(500g*14봉)",43190,https://www.coupang.com/vp/products/1081837641?itemId=2034550274&vendorItemId=5121190075,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e664/6bab90f7cc9b8ea24306552082bf9bfd0e72adbb13cd6702d75497b90a6c.jpg,5.0,(105),Dog
Coupang,"Natural Core 치킨&살몬 애견 사료 7kg, 1개, 7kg(500g*14봉)",43190,https://www.coupang.com/vp/products/1081837641?itemId=2034550274&vendorItemId=5121190075,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(105),Dog
Coupang,T1_애견사료 자이언트 작은알갱이 20kg_L/N:8D+W282EE4 ; 애견사료20kg 자이언트사료 애견사료 강아지사료 전연령견사료 반려견사료 개밥 개사료 TN1,51870,https://www.coupang.com/vp/products/4719509529?itemId=5964940148&vendorItemId=73262824696,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"[?熏 닭고기 감자 개사료 전연령 반려견 식품 10.89kg 1EA[?熏, 10.89:1EA",185320,https://www.coupang.com/vp/products/6075498023?itemId=11236248179&vendorItemId=78513523434,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"[?熏 치킨 아보카도 함유 반려동물 애견 사료 10.89Kg 1EA[?熏, 10.89:1EA",208640,https://www.coupang.com/vp/products/6075497972?itemId=11236248017&vendorItemId=78513523272,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"[뉴트리웰] [펫 파라다이스]어덜트 패밀리 중대형견 강아지 사료 15kg 강아지사료, 곡물",25000,https://www.coupang.com/vp/products/1296768135?itemId=2309536389&vendorItemId=70306359713,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(20),Dog
Coupang,[대포장] 에스틴 베네핏 싱글프로틴 3.62kg+50g 식이 알러지 처방식,54890,https://www.coupang.com/vp/products/5901260084?itemId=10405661548&vendorItemId=77687652977,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(2),Dog
Coupang,"[매니아] 솔리드골드 마이티미니 치킨 터키 칠면조 연어 1kg/3kg 전연령 강아지 애견 명품 사료, 터키 칠면조 3kg",51000,https://www.coupang.com/vp/products/5723545808?itemId=9581247143&vendorItemId=76865821573,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"[미우] 힐스 사이언스다이어트 시니어(7+) 어덜트 라이트 스몰바이트 강아지 사료 성견 및 노령견 건식사료, 6.8kg, 닭",69600,https://www.coupang.com/vp/products/6076108681?itemId=11240415890&vendorItemId=78517648399,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5b84/00e2303dc1e0c7f72aafafcdf6583774cf443f916582308a7f4887d1eb25.png,평점 없음,평점 수 없음,Dog
Coupang,"[미우] 힐스 사이언스다이어트 시니어(7+) 어덜트 라이트 스몰바이트 강아지 사료 성견 및 노령견 건식사료, 6.8kg, 닭",69350,https://www.coupang.com/vp/products/1325744004?itemId=2348300368&vendorItemId=71758716428,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(16),Dog
Coupang,"[미우] 힐스 사이언스다이어트 시니어(7+) 어덜트 라이트 스몰바이트 강아지 사료 성견 및 노령견 건식사료, 6.8kg, 닭",69350,https://www.coupang.com/vp/products/1325744004?itemId=2348300368&vendorItemId=71758716428,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6f4a/feca6b604028a9f915ca62fa4c4d75820c0c357dafac9e36852db822512f.png,5.0,(16),Dog
Coupang,"[미우] 힐스 사이언스다이어트 시니어(7+) 어덜트 라이트 스몰바이트 강아지 사료 성견 및 노령견 건식사료, 6.8kg, 닭",69350,https://www.coupang.com/vp/products/1325744004?itemId=2348300368&vendorItemId=71758716428,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(16),Dog
Coupang,"[벨포아] 하이포알러제닉 눈물 피부 강아지 인섹트 곤충사료 2.5kg 미니바이트, 란트굿 미니바이트 2.5kg",49000,https://www.coupang.com/vp/products/6066710303?itemId=11181376551&vendorItemId=78458991995,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,3.0,(1),Dog
Coupang,[병원처방식]로얄캐닌 강아지 레날셀렉트2kg/강아지레날(신장)사료/레날맛있는사료,42900,https://www.coupang.com/vp/products/5234162430?itemId=7375769857&vendorItemId=78398158467,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(5),Dog
Coupang,[병원처방식]로얄캐닌 강아지 레날셀렉트2kg/강아지레날(신장)사료/레날맛있는사료,42900,https://www.coupang.com/vp/products/5234162430?itemId=7375769857&vendorItemId=78398158467,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(5),Dog
Coupang,"[브이펫] 로얄캐닌 강아지사료 독 미디엄 라이트웨이트케어 10KG/체중관리, 상세 설명 참조",80900,https://www.coupang.com/vp/products/6052773561?itemId=11098274627&vendorItemId=78377639310,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"[솔이펫] ANF 홀리스틱 독 7.2kg 연어+귀리 치킨+귀리 칠면조+귀리 미국 직수입 강아지 사료 행사, 3.칠면조+귀리 7.2kg",66000,https://www.coupang.com/vp/products/6069884166?itemId=11201284131&vendorItemId=78478987824,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,"[아미오]건강담은식단 관절케어 5.2kg, 단품",72000,https://www.coupang.com/vp/products/5233427055?itemId=7372653313&vendorItemId=76045094997,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,평점 없음,평점 수 없음,Dog
Coupang,[오늘출발]인섹트도그 미니 하이포알러지 강아지눈물사료 2kg / 유통기한 2022년6월11일까지,39000,https://www.coupang.com/vp/products/6057976410?itemId=11127606548&vendorItemId=74019522904,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d6ee/274e63b57dac5a1ec995965352b89b34e761fbb8a09a5432b23fe16ad1cf.png,5.0,(15),Dog
Coupang,[오리젠] 6 피쉬 캣 (1kg),27500,https://www.coupang.com/vp/products/154884521?itemId=446501750&vendorItemId=78481336837,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(33),Dog
Coupang,[오리젠] 6 피쉬 캣 (1kg),27500,https://www.coupang.com/vp/products/154884521?itemId=446501750&vendorItemId=78481336837,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,4.5,(33),Dog
Coupang,"[정품] 힐스처방사료 힐스 a/d ad z/d zd c/d cd k/d kd metabolic microbiome, 힐스 GI microbiome 건사료 1.5kg",33000,https://www.coupang.com/vp/products/5436462029?itemId=8253714453&vendorItemId=75541673048,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(16),Dog
Coupang,[정품] 힐스처방식 힐스처방사료 c/d cd 건사료 1.5 kg 강아지,45400,https://www.coupang.com/vp/products/5472892202?itemId=8415636810&vendorItemId=78397594801,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0a88/4796fbca87ea05d3f4af4548ba221faf48e8cea5f051840040ccb9c8e58e.jpg,5.0,(6),Dog
Coupang,[정품] 힐스처방식 힐스처방사료 c/d cd 건사료 1.5 kg 강아지,45400,https://www.coupang.com/vp/products/5472892202?itemId=8415636810&vendorItemId=78397594801,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0a88/4796fbca87ea05d3f4af4548ba221faf48e8cea5f051840040ccb9c8e58e.jpg,5.0,(6),Dog
Coupang,[정품] 힐스처방식 힐스처방사료 c/d cd 건사료 1.5 kg 강아지,45400,https://www.coupang.com/vp/products/5472892202?itemId=8415636810&vendorItemId=78397594801,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,5.0,(6),Dog
